surName = Alexandrov, name = Boris, age = 15
surName = Alexandrov, name = Fedor, age = 18
surName = Alexandrov, name = Ivan, age = 20
surName = Alexandrov, name = Semen, age = 17
surName = Alexandrov, name = Vasya, age = 15
surName = Borisov, name = Alex, age = 16
surName = Borisov, name = Boris, age = 20
surName = Borisov, name = Fedor, age = 15
surName = Borisov, name = Kolya, age = 17
surName = Borisov, name = Vasya, age = 18
surName = Fedorov, name = Alex, age = 17
surName = Fedorov, name = Boris, age = 19
surName = Fedorov, name = Fedor, age = 16
surName = Fedorov, name = Ivan, age = 16
surName = Fedorov, name = Kolya, age = 19
surName = Ivanov, name = Boris, age = 18
surName = Ivanov, name = Fedor, age = 17
surName = Ivanov, name = Ivan, age = 17
surName = Ivanov, name = Semen, age = 17
surName = Ivanov, name = Vasya, age = 21
surName = Nikolaev, name = Alex, age = 16
surName = Nikolaev, name = Boris, age = 19
surName = Nikolaev, name = Ivan, age = 20
surName = Nikolaev, name = Kolya, age = 19
surName = Nikolaev, name = Semen, age = 17
surName = Semenov, name = Boris, age = 15
surName = Semenov, name = Ivan, age = 17
surName = Semenov, name = Kolya, age = 16
surName = Semenov, name = Vasya, age = 15
surName = Vasiliev, name = Boris, age = 15
surName = Vasiliev, name = Ivan, age = 15
surName = Vasiliev, name = Kolya, age = 16
surName = Vasiliev, name = Semen, age = 15
surName = Vasiliev, name = Vasya, age = 18
